epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.4288512052363645,1e-04,0.37265676,0.63933676,0.5427206,0.4260989111703886,0.37214333,0.7283285,0.392984
1,0.36646242412115565,1e-04,0.37141734,0.71508515,0.6099211,NA,NA,NA,NA
